@relation refinedData-weka.filters.unsupervised.instance.RemovePercentage-P50.0

@attribute ageDifference numeric
@attribute weightDifference numeric
@attribute heightDifference numeric
@attribute ref {'Helio Vigio','Joao Alberto Barreto','John McCarthy',N/A,'Joe Hamilton','Mason White','Larry Landless','Herb Dean','Cecil Peoples','Steve Mazzagatti','Jon Schorle','Mario Yamasaki','Yves Lavigne','Troy Waugh','Jorge Alonso','Marco Lopez','Mark Matheny','Kerry Hatley','Dan Miragliotta','Kevin Mulhall','Josh Rosenthal','Jerry Krzys','Adam Martinez','Tim Mills','Philippe Chartier','Daryl Guthmiller','Nick Gamst','Josh Arney','Mark Powell','Jim Axtel','Marc Goddard','Leon Roberts','David Smith','Todd Frederickson','Marc Fennell','Mike Reid','Al Coley','Donnie Jessup','Jorge Ortiz','Rick Fike','Kim Winslow','Keith Peterson','Dave Hagen','Dave Hagan','Shawn Gregory','Kevin Nix','Tom Jones','Gary Ritter','Don Turnage','Jason Herzog','Greg Franklin','John Sharp','Steve Perceval','Tom Johnson','Dale Frye','Bill Clancy','Phillipe Chatrier','Marc-Andre Cote','Kevin Dornan','Tony Williamson','Marcos Rosales','Rob Hinds','Jeff Malott','Marc Fennel','Chris Tognoni','Gary Copeland','Chris Kinman','Kevin MacDonald','Anthony Hamlett','Jerin Valel','Chip Snider','Myron Gaudet','Fernando Yamasaki','Jacob Montalvo','Dan Stell','Jason McCoy','Robert Madrigal','Jim Axtell','Bo Nesslein','Kristian Hacklou','Marko Gyllenland','Robert Sundel','Blake Grice','Will Fisher','Todd McGovern','Rick McCoy','Chris Adams','Frank Gentile','Gasper Oliver','Luis Cobian','Steve Newport','Neil Hall','Thomas Fan','Mike Beltran','Adam Cheadle','Randy Corley','Al Wichgers','Todd Anderson','Jay Stafin','Cameron Quinn','George Allen','Rob Madrigal','Otto Torriero','Osiris Maia','Grant Waterman','Wernei Cardoso','Jorge Alsonso','Mark Smith','Wolf Menninger','Raul Porrata','Frank Collazo','Peter Hickmott','Vitor Ribeiro','Liam Kerrigan','Steven Davis','Cyril Desjardins','Brad Jardine','Bobby Rehman','Eduardo Herdy','Al Guinee','Gary Forman','Bryan Miner','Kevin Sataki','Don Thais','Camila Albuquerque','Mike King','Lukasz Bosacki','Marco Goddard','Greg Kleynjans','Terry Hill','Gabe Barahona','Jordan Bass','Robbie Scheuermann','James Warring','Josh Ward','David Ferguson','Neil Swailes','Joe Solis','Piotr Michalak','John Hosegood','Steve Rita','Bill Bookwalter','James Chappell'}
@attribute round numeric
@attribute weightClass {Middleweight,'Light Heavyweight',Heavyweight,Welterweight,'Super Heavyweight',N/A,Lightweight,Bantamweight,Featherweight,Flyweight,Strawweight,Atomweight}
@attribute method {Submission,TKO,KO,Draw,Decision,DQ,NC,No}

@data
2,0,2,'Troy Waugh',3,Flyweight,Decision
3,15,1,'Frank Gentile',1,Welterweight,Submission
8,0,2,'Chris Adams',1,Welterweight,KO
2,0,2,'Troy Waugh',2,Bantamweight,KO
1,0,2,'Frank Gentile',3,Welterweight,Decision
7,0,4,'Chris Adams',3,Welterweight,Decision
2,0,1,'Troy Waugh',3,Featherweight,Decision
1,17,1,'Frank Gentile',1,Lightweight,Submission
2,15,6,'Chris Adams',1,Welterweight,TKO
5,0,1,'Troy Waugh',3,Middleweight,Decision
2,0,2,'Frank Gentile',3,Lightweight,Decision
2,10,1,'Dan Miragliotta',5,Lightweight,Decision
8,0,2,'Kevin Mulhall',3,Lightweight,Decision
8,0,1,'Kevin Mulhall',3,Welterweight,Decision
1,10,1,'Yves Lavigne',2,Featherweight,TKO
1,0,3,'Yves Lavigne',3,Featherweight,Decision
2,0,1,'Yves Lavigne',1,Lightweight,TKO
1,0,1,'Dan Miragliotta',3,Welterweight,Decision
1,19,4,'Kevin Mulhall',1,Welterweight,Submission
5,12,3,'Dan Miragliotta',3,Middleweight,TKO
0,0,4,'Gasper Oliver',2,Welterweight,TKO
1,15,3,'Dan Miragliotta',3,Middleweight,Submission
5,17,1,'Gasper Oliver',3,Bantamweight,Decision
2,0,3,'Mario Yamasaki',5,Middleweight,Decision
3,15,1,'Herb Dean',3,Middleweight,Decision
3,0,0,'Marc Goddard',3,Featherweight,Decision
1,14,3,'Herb Dean',1,Heavyweight,TKO
4,9,1,'Marc Goddard',3,Featherweight,Decision
8,0,0,'Mario Yamasaki',1,Featherweight,Submission
1,15,3,'Herb Dean',1,Lightweight,TKO
4,10,1,'Marc Goddard',3,Bantamweight,Decision
3,15,0,'Mario Yamasaki',3,Welterweight,TKO
2,0,3,'Herb Dean',3,Featherweight,TKO
10,10,4,'Marc Goddard',3,Bantamweight,Draw
2,20,1,'Yves Lavigne',2,Middleweight,TKO
4,0,1,'Steve Mazzagatti',3,'Light Heavyweight',Decision
8,15,1,'Josh Rosenthal',3,Middleweight,Decision
4,0,1,'Mario Yamasaki',1,Welterweight,TKO
2,25,6,'Steve Mazzagatti',1,Featherweight,KO
2,0,0,'Josh Rosenthal',3,Bantamweight,Decision
5,0,0,'Yves Lavigne',3,Lightweight,Decision
5,0,0,'Mario Yamasaki',3,Lightweight,Decision
2,0,1,'Steve Mazzagatti',3,Middleweight,Decision
0,0,0,'Josh Rosenthal',3,Lightweight,Decision
2,1,2,'Mario Yamasaki',3,Lightweight,Decision
6,0,2,'Josh Rosenthal',2,Middleweight,KO
0,0,0,'Jason McCoy',3,Middleweight,Decision
10,0,2,'Marcos Rosales',3,Welterweight,Decision
4,35,0,'Josh Rosenthal',2,Welterweight,Submission
4,0,1,'Jason McCoy',1,Bantamweight,Submission
4,0,3,'Marcos Rosales',3,Lightweight,Decision
6,10,3,'Josh Rosenthal',2,Bantamweight,Submission
?,0,2,'Jason McCoy',3,Flyweight,Decision
4,15,1,'Marcos Rosales',2,Welterweight,KO
3,6,1,'Josh Rosenthal',3,Middleweight,Decision
2,10,0,'Jason McCoy',2,Bantamweight,TKO
8,0,1,'Mario Yamasaki',5,Bantamweight,Decision
3,35,2,'Josh Rosenthal',3,'Light Heavyweight',Decision
9,17,4,'Yves Lavigne',3,Heavyweight,Decision
4,0,2,'Mario Yamasaki',3,Welterweight,Decision
10,0,3,'Josh Rosenthal',3,Welterweight,NC
5,15,1,'Yves Lavigne',3,Middleweight,Decision
2,0,1,'Mario Yamasaki',1,Bantamweight,NC
9,0,1,'Josh Rosenthal',1,'Light Heavyweight',KO
0,0,3,'Yves Lavigne',3,Bantamweight,Submission
6,10,1,'Mario Yamasaki',1,Featherweight,KO
1,1,1,'Josh Rosenthal',3,Lightweight,Decision
4,0,1,'Herb Dean',4,'Light Heavyweight',TKO
5,20,1,'John McCarthy',2,Middleweight,KO
0,0,1,'Luis Cobian',3,Lightweight,Submission
3,0,1,'Herb Dean',2,Welterweight,KO
1,4,7,'John McCarthy',3,Featherweight,Decision
3,0,1,'Luis Cobian',1,'Light Heavyweight',NC
4,11,5,'Herb Dean',1,Bantamweight,Submission
6,43,3,'John McCarthy',2,Heavyweight,Submission
6,10,1,'Luis Cobian',3,Bantamweight,Decision
1,0,1,'Herb Dean',1,Flyweight,KO
2,10,3,'Herb Dean',5,Lightweight,Decision
0,0,2,'Josh Rosenthal',1,Lightweight,KO
1,35,2,'Adam Martinez',3,Welterweight,NC
1,0,0,'Herb Dean',2,Middleweight,TKO
1,0,3,'Josh Rosenthal',2,Featherweight,TKO
0,0,3,'Tom Johnson',1,Featherweight,Submission
7,13,3,'Adam Martinez',2,'Light Heavyweight',TKO
7,0,0,'Herb Dean',1,Bantamweight,KO
2,27,3,'Tom Johnson',3,Flyweight,Decision
8,0,1,'Tim Mills',1,Featherweight,TKO
10,20,4,'John McCarthy',4,'Light Heavyweight',Submission
2,0,1,'Yves Lavigne',5,Flyweight,Decision
1,0,1,'Josh Rosenthal',3,Middleweight,Decision
2,0,4,'Dan Miragliotta',3,'Light Heavyweight',Decision
6,0,4,'Yves Lavigne',1,Featherweight,KO
5,0,3,'John McCarthy',2,'Light Heavyweight',Submission
3,0,0,'Dan Miragliotta',3,Lightweight,Decision
12,0,2,'Josh Rosenthal',3,Welterweight,Decision
2,10,5,'Yves Lavigne',3,Bantamweight,Decision
3,0,2,'John McCarthy',1,Welterweight,KO
0,1,5,'Josh Rosenthal',1,Bantamweight,Submission
1,15,3,'Dan Miragliotta',1,Welterweight,TKO
6,20,8,'Herb Dean',2,Heavyweight,TKO
2,0,1,'Marc Goddard',3,Welterweight,Decision
1,10,0,'Leon Roberts',1,Flyweight,KO
5,0,3,'Herb Dean',1,Lightweight,Submission
4,5,5,'Marc Goddard',3,Welterweight,Decision
4,15,1,'Herb Dean',1,Lightweight,TKO
2,0,4,'Leon Roberts',2,'Light Heavyweight',TKO
7,1,1,'Marc Goddard',3,Featherweight,Decision
5,0,2,'Leon Roberts',3,Middleweight,Decision
6,0,1,'Herb Dean',1,Welterweight,Submission
0,0,1,'Marc Goddard',1,Featherweight,KO
3,28,3,'Herb Dean',1,Heavyweight,TKO
